Folder,Folder Title,Identifier ,City/Town ,Survey Title,Document Form / Genre,Date,Date Statement,Date Year,Surveyor,Publisher,Property Owner,Neighbors,Scale,Latitude,Longitude,Streets,Notes,Background Notes,Related Registry Documents,No. of Sheets,Panels / Pieces,Sides,Dimensions (in.),Material Type,Condition Notes,Extent,,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Arlington-001,"Arlington, MA","Plan of Linwood Extension. Arlington & Belmont, Mass. ",Survey,,Not Dated,,[Robert B. Bellamy],,,,,42.410638,-71.171745,Eastern Avenue; High Haith; Wall Street.,"Preliminary plan showing 21 lots, with measurements and notes on deeds and other sources.   Note indicates  Spring St. and High Haith as located on Board of Survey Plan 377.92 from Highland Avenue and 210I.  Indicates coverage of Belmont acreage- land borders Route 2 at Belmont town line.  ",Proposed extension of Linwood may refer to reconfiguration of Spring (new and old).  Area borders Menotemy Park.  Comparison of Walker Atlases show that street configuration did not exist until mid-1920s.  A 1923 Town of Arlington Annual Report shows that Warren Griswold owned land at High Haith & Spring and that High Haith was considered a development that needed sewer development (https://books.google.com/books?id=TI_AQz2rg3YC). High Haith was part of a development called Park Heights.,,1,,1,22 x 21,Trace or vellum,,"1 sheet, approx. 22 x 21 in., trace or vellum",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Arlington-002,"Arlington, MA",Plot Plan of Overlook. Mystic Street.,Survey,,Not Dated,,Robert B. Bellamy,,Niles; M.A.G. Locke,Niles Estate,1/16 in = 1 ft,42.429872,-71.15278,Intervale Road and Mystic Street. ,"Plan showing houses on 8 lots, one listed as H.A.G. Locke Residence. Development bisected by Overlook Driveway.","Niles may refer to William J. Niles, who owned the Ridgemere estate on Mystic Pond, 303 Mystic Street (https://backbayhouses.org/110-beacon/). https://arlingtonhistorical.pastperfectonline.com/photo/C5B3C9C2-F8EE-41A0-B53D-884636249508",,1,,1,26 x 27,Blueprint,Backed,"1 sheet: blueprint ; 26 x 27 in., backed",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Arlington-003,"Arlington, MA","Plan of Interlaken, Arlington, MA",Survey,1916-12-01,12/1/1916,1916,Robert B. Bellamy,,Brown and Stackpole,,1 in = 40 ft,42.430051,-71.152452,Intervale Road; Mystic Street; Lake Shore Drive; Robin Hood Road; and Cheviot Street.,Subdivision plan with over 39 lots.,See Arlington-004 for subdivision layout. Brown & Stackpole were Boston real estate brokers. Interlacken was developed between 1916 and 1920s. Bellamy did variants for subsets and extension of development per registry plans.,Southern Middlex Unindexed Plan 1932/412;,1,,1,28 x 20,Blueprint,,"1 sheet, blueprint, 28 x 20",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Arlington-004,"Arlington, MA","Profile of Streets, Interlaken, Arlington, MA",Survey,1916-12-01,12/1/1916,1916,Robert B. Bellamy,,Brown and Stackpole,,Vert: 1 in = 8 ft,42.430051,-71.152452,Intervale Road; Alpine Avenue; Lake Shore Drive,6 street profiles.,See Arlington-003 for subdivision layout. Brown & Stackpole were Boston real estate brokers.,,1,,1,32 x 23,Blueprint,Backed,"1 sheet, blueprint, approx. 32 x 23 in., backed",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Arlington-005,"Arlington, MA","Profile of Streets, Interlaken, Arlington, MA",Survey,1916-06-15,6/15/1916,1916,Robert B. Bellamy,,"D. Arthur Brown, Trustee",,Horiz: 1 in = 40 ft; Vert: 1 in = 8 ft,42.430051,-71.152452,Robin Hood Road; Intervale Road; Lake Shore Drive.,Preliminary Street profiles.,See Arlington-004 for finished version.,,1,,1,42 x 13,Kraft paper,,"1 sheet, 42 x 13 in., kraft paper",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Bedford-001,"Bedford, MA",Bedford - South St. Copied from County Engineers plan - shows that there was a hedge between the houses just as I survey & fixed the property line,Survey,1927,[1927],1927,[Robert B. Bellamy],,,,1 in = 40 ft,42.487000,-71.278764,South Street between Depot Road and Otis Street,"Schematic, rough layout of lots. Title indicates that this is a copy of a county engineers plan.","South Street now is South Road (see Bromley Atlases 1917) and Depot Road is probably now Railroad Avenue, across from Depot Park and former site of r.r. stop. See https://www.bedfordma.gov/419/Historic-Maps",,1,,1,28 x15,Tracing paper,,"1 sheet, approx. 28 x15 in.",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Bellingham-001,"Bellingham, MA",Plan of Silver Lake Park Plat,Survey,1924-07-01,7/1/1924,1924,Robert B. Bellamy,,Home Realty Corporation,,1 in= 100 ft,42.059651,-71.465369,At Silver and Spring Water Lakes; Archambeault; Chenette; and Galvey Avenues; Cross Street.,"Shows layout of 11 sets of numbered lots plus layout of streets, labelled First thru Ninth (not bult).  Spring Water Lake probably is now Crystal Lake.",Prior to 1920s Silver Lake was a major recreational area,Norfolk D1557-900 (Plan #:1923-289),1,,1,45 x 26,Blueprint,,"1 sheet, blueprint, approx. 45 x 26",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Bellingham-002,"Bellingham, MA","Plan of Silver Lake Park Plat. South Bellingham, Mass. Owned by Home Realty Corporation Et Al.",Survey,1922-07-22,7/22/1922,1922,Robert B. Bellamy,,Home Realty Corporation, Milford Attleboro & Woonsocket St. Railway Co.,1 in= 100 ft,42.061001,-71.468755,Silverlake Road at Silver and Spring Water Lakes in the area known as South Bellingham.,"Shows extensive lots and nine streets named after numbers, none of which were created. Lots are group by letters A through K. Note on verso says Bellamy copy.",See Bellingham-001. ,Norfolk D1557-900 (Plan #:1923-289),1,,1,37 x 17.5,Blueprint,Conserved 2014. Heavy fold- and watermarks.,"1 sheet, 37 x 17.5 in.",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Bellingham-003,"Bellingham, MA","Plan of Silver Lake Park Plat. South Bellingham, Mass. Owned by Home Realty Corporation Et Al.",Survey,1922-07-22,7/22/1922,1922,Robert B. Bellamy,,Home Realty Corporation, Milford Attleboro & Woonsocket St. Railway Co.,1 in= 100 ft,42.061001,-71.468755,Silverlake Road at Silver and Spring Water Lakes in the area known as South Bellingham.,"Duplicate of Bellingham-002. Shows extensive lots and nine streets named after numbers, none of which were created. Lots are group by letters A through K.",,Norfolk D1557-900 (Plan #:1923-289),1,,1,37 x 17.5,Blueprint,Conserved 2014.,"1 sheet, 37 x 17.5 in.",,,,,,,,,,,,,,,,,,,
1,Massachusetts - Arlington - Brookline,Severy_Billerica-001,"Billerica, MA","Plan of Central Park, Billerica, Mass. [Title Cover]",Survey,1913-11 to 1913-12,1913 Nov-Dec,1913,Robert B. Bellamy ; John N. McClintock,,James E. Burke,,1 in = 60 ft,42.531964,-71.270979,,"1 cover page for Billerica-002.  Presents surveyors' information, date, scale. Features decorative type and borders.",,,1,,1,18 x 18.5,Brownline on vellum,," 1 cover page, 18 x 18 1/2 in., vellum",,,,,,,,,,,,,,,,,,,
