identifier,fw_group,city_town,survey_title,date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,surveyor_no,fw_ref,scale,latitude,longitude,form_genre,no_sheets,pieces,sides,dimensions_in,material,condition_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_904,,"Boston, MA","Plan showing Proposed Improvement of Lots Nos. 49, 50, and 55",1882-04-01,"Boynton, Wm.; Eaton, J. H.; Healy, Wm. E.; Sprague, W. H. Brett, G. W.; Dyer, B. F.; Hamblin, F. H.; Jackson, C. E.; Jacobs, G. E.; Johnson, W.E; Parsons, H. A.; Russell, G. O.; ",,Huntington Parkway; Huntington Ave. Extension; Parker Street,"Subdivision plan showing lots no. 49, 50, 55; Lot no. 50 divided into lots no. 1 thru 9. Note indicates: ""With transfer of titles recorded at the registry to date.""",Extension of Huntington Ave.; Huntington Parkway now is Forsyth Way,,Fuller & Whitney,,904-798,,1 in = 50 ft,42.33939926,-71.0923,Survey Plan,1,,1,16 x 11,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_905,Ivory Bean Lots,"Boston, MA",Plan showing Subdivision of Lot 610,1882-05-01,"Bacon, Amanda A.; Bean, Ivory; Hammond, Geo. F.; Howe, A. M. & al. Trs.; Martin, Jennie E.; Rhoades, Wm. W.; Smith, Geo. A.; Sweeney, Emma H.",Boston & Providence Railroad,Durham Street; St. Botolph Street; West Newton Street; unlabeled alleyway (Private Alley 454),"Subdivision plan showings lots numbered 1 through 27. Subtitle: ""according to a plan of Richards & Richards Arch & Recorded Suffolk Deeds Lib. 1541 Fol. 180. with additions showing owners names to date.""",See 969-982 and 975-988 for other lots belonging to Ivory Bean. Referenced deed in Suffolk County Registry contains a variant of plan by others showing the lands was deeded to Bean 10/1881.,Suffolk Unindexed Plan Bk/Pg 1541/180,Fuller & Whitney,,905-799,610,[1 in = 20 ft],42.344254,-71.0808,Survey Plan,1,,1,14 X 16,Blueprint,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_906,,"Boston, MA",[Untitled - Falmouth Street and West Chester Park],1881-04-05,,,Falmouth Street [St. Stephen]; West Chester Park [Massachusetts Avenue]; Westland Avenue.,"Subdivision plan showing lots numbered 1 through 20. Note: Line described in deed Mathews to Brown, Dec 15, 1870. Penciled note: Copy recorded Suff. 1531-197",No title or owners shown.,,Fuller & Whitney,,906-800,,1 in = 50 ft,42.34322531,-71.0861,Survey Plan,1,,1,15.5 x 13,Blueline,Damaged binding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_921_1,,"Riverside, FL","Map of Riverside, State of Florida",1882-06-01,,Florida Central Railroad; Tallahassee & Jackson Railroad,Kings Road; Plank Road; St. John's River; Waycross Station,"Subdivision plan showing over 91 groups of multiple lots with Park; areas named Avilla, Brooklyn, and Jacksonville; street layout grid","Riverside is a neighborhood of Jacksonville, FL. Per Wikipedia, first platted in 1868 and developed by Bostonian John Murray Forbes, who developed nearby Brooklyn neighborhood and married into the Boston family, the Perkins. The neighborhood is now listed in the National Register of Historic Places. Duval County Registry shows plans by other surveyors for this development.","Duval County, FL ABPlat Instrument #18884#; #188825",Fuller & Whitney,,921-852,,Scale not given,30.31456386,-81.6921,Survey Plan,1,,1,16.5 x 13.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_921_2,,"Boston, MA","Copy of a Plan June 9, 1882",1882-06-09,"Armstrong, S. T.; Clark, B. C.; Shaw, Robert G.","Appleton, S.; Perkins, T.",Beacon Street; Belknap Street [Joy Street]; Passageway,"Subdivision plan showing 7 numbered lots plus 3 occupied lots. Note: Scale 20 feet to an inch by S.P. Fuller Surveyor Boston, Jun3 30, 1832, Copy.""",,,Fuller & Whitney,,921-853,,1 in = 20 ft,42.35727823,-71.0652,Survey Plan,1,,1,16 x 14.5,Blueprint,Tear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_923_1,Boylston Entrance,"Boston, MA",Plan No. 1 after Park Commissioners' Plan,1882-08-15,City of Boston,Boston & Albany Railroad,Back Bay Park; Boylston Entrance; Boylston Street; Parker Street [Hemingway Street]; West Chester Park [Massachusetts Ave.],"Subdivision plan showing three blocks of lots divided by a street 50 feet wide [now Ipswich Street] and a passageway 16 feet wide. Note contains calculations for street and passages ""which is 25 per cent of the whole""",,,Fuller & Whitney,,923-857,,1 in = 80 ft,42.34701129,-71.0893,Survey Plan,1,,1,16 x 14.5,Blueprint,Tear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_923_2,Boylston Entrance,"Boston, MA",Plan No. 2,1882-08-15,City of Boston,Boston & Albany Railroad,Back Bay Park; Boylston Entrance; Boylston Street; Parker Street [Hemingway Street]; West Chester Park [Massachusetts Ave.],"Subdivision plan showing three blocks of lots divided by a street 50 feet wide and a passageway 16 feet wide. Note contains calculations for street and passages ""which is 16 per cent of the whole."" Variant on Plan 923-857.",,,Fuller & Whitney,,923-858,,1 in = 80 ft,42.34701129,-71.0893,Survey Plan,1,,1,16 x 14.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_923_3,Boylston Entrance,"Boston, MA",Plan No. 5,1882-08-15,City of Boston,Boston & Albany Railroad,Back Bay Park; Boylston Entrance; Boylston Street; Parker Street [Hemingway Street]; West Chester Park [Massachusetts Ave.],"Subdivision plan showing three blocks of lots divided by two street 40 feet wide and 3 passageways. Note contains calculations for street and passages ""which is 19 per cent of the whole."" Variant on Plan 923-857.",,,Fuller & Whitney,,923-859,,1 in = 80 ft,42.34701129,-71.0893,Survey Plan,1,,1,16 x 14.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_923_4,Boylston Entrance,"Boston, MA",Plan No. 4,1882-08-15,City of Boston,Boston & Albany Railroad,Back Bay Park; Boylston Entrance; Boylston Street; Parker Street [Hemingway Street]; West Chester Park [Massachusetts Ave.],"Subdivision plan showing four blocks of lots divided by multiple street or passageways. Note contains calculations for street and passages ""which is 24 per cent of the whole."" Variant on Plan 923-557",,,Fuller & Whitney,,923-860,,1 in = 80 ft,42.34701129,-71.0893,Survey Plan,1,,1,16 x 14.5,Blueprint,Edge damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perkins_W35_924_1,,"Boston, MA",Portland Street,1882-09-01,,"Boles, Levi; Dooley, Henry Estate; Merrill, Mary Wells and Treadwell, John P., Trs.Sohier and Others Trs.",Portland Street [Sudbury Street],"Lot plan showing two lots alongside ""passageway 9 feet wide."" One lot says ""brick building""; Dooley Estate lot says ""Brick building here recently torn down."" Penciled note says ""See Plan 631""","In 1882, Portland Street extended to what is now Boston City Hall Plaza",,Fuller & Whitney,,924-861,,1 in = 4 ft,42.3621,-71.0591,Survey Plan,1,,1,16.25 x 11.25,Blueprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
