Identifier,Latitude,Longitude,Folder,Date,City/Town ,Property Owner ,Survey Title ,Streets ,Neighbors ,Notes,Background Notes ,Material Type,Surveyor 
Perkins_M_T1-15,42.365029,-71.106064,T1,9999-01-01,,,,"River St, Western Ave",Abutter: M & K Ricker,"shows old engine house, Horse Railroad tracks hay scales, hayscales, fantastic north arrow",,,Unknown
Perkins_M_T1-16,42.388901,-71.119963,T1,1886-03-01,"Cambridge, MA",,Plan of Premises,"North Ave, Union Sq vicinity","Caroline S. Porter, Fitchburg Railroad, H.C. Rand",,,,W.A. Mason & Son Co.
Perkins_M_T1-19,42.375539,-71.100973,T1,1887-12-17,"Somerville, MA","Dickinson; Connor, Mary",,"Dickinson St, Leon St, Benefit St, (now Hammond St)",,,,,W.A. Mason & Son Co.
Perkins_M_T1-2,42.365037,-71.101252,T1,9999-01-01,"Cambridge, MA",,,"Norfolk St, Austin St, now Bishop Allen Dr",,"shows dwellings, hydrant",,,Unknown
Perkins_M_T1-20,42.369935,-71.095963,T1,1887-05-10,"Cambridge, MA","Dickinson, Alex",,"Columbia St, Hampshire St",Abutter: P. Putnam,,,,W.A. Mason & Son Co.
Perkins_M_T1-21,42.361057,-71.10284,T1,1885-05-22,"Cambridge, MA","Dana, S. A.",,"Brookline St, Pilgirm St, Pacific Ave","Jennings, H. McCaw, W. Hast, M. Egan",,,,W.A. Mason & Son Co.
Perkins_M_T1-22,42.367193,-71.113279,T1,1885-11-30,"Cambridge, MA","Charles, T.; Seavey, F.H.",,"Putnam Ave, Hayes St","J. N. Burleigh, D. Humphrey, Heirs of Thos. Mara","elaborate title block, house, tool house, stable, shed shown",,,W.A. Mason & Son Co.
Perkins_M_T1-3,42.368647,-71.051534,T1,1836-04-08,"Boston, MA",Winnisimmet Ferry Co.,Winnisimmet Ferry Co. Wharf,"Commercial St, Hanover St",Grueby,"primitive map with great northarrow, traced 8/1886",,,"Fuller, S.P."
Perkins_M_T1-33,42.364581,-71.050563,T1,1836-04-08,"Boston, MA",Winnisimmet Ferry Co.,Winnisimmet Ferry Co. Wharf,Commercial St,"Nathaniel Goddard, J. W. Revere",traced 8/1886,,,"Fuller, S.P."
Perkins_M_T1-4,42.377592,-71.1105,T1,1887-12-01,"Cambridge, MA",Norton,,"Beacon St Park St, Kirkland St, Divinity Ave, Kirkland Ave, Francis Place, Oxford St, Everett St, Railroad St","Harvard College, Palrey Estate, Norton, Cogswell, Child, Ashburn",houses shown,,,"Elliot, Charles J."
