identifier,city_town,survey_title,date,auction_date,property_owner,neighbors,streets,notes,background_notes,related_registry_doc,surveyor,publisher,auctioneer,surveyor_no,scale,latitude,longitude,no_sheets,panels,sides,dimensions_in,form_genre,material,condition_notes
Perkins_1_1,"Cambridge, MA",[Untitled - Lots on Broadway],1883-03-22,,,"Becket, Richard; Wallis, William D.",Broadway; Third Street,"Plot plan showing one lot with dimensions, field survey notes and calculations, and abutters.  Displays outline and annotations for new brick party wall and measurements and features related to street curb.","Survey drawn on rear side of a lithograph of a War Department Weather Map done by U.S. Army Signal Services for September 13, 1873.",Middlesex South Deed Bk/Pg 970/588,"Bowker, Edwin F.",,,,Not provided,42.36273272,-71.08412917,1,,1,12.5 x 9.5,Survey Plan,Pencil and ink on manila,
Perkins_1_2,"Cambridge, MA",Plan of Lands in Cambridgeport belonging wholly or in part to Frederick L. Ames; abutting and neighboring estates.,1883-10-01,,"Ames, Frederick L.",,,Cover sheet for plan. Indicates plans are drawn at scale of 1 inch = 80 ft. Decorative lettering and ornate borders. Duplicate of item Perkins Plan #9_6.,"Ames was a prominent railroad executive who owned property in the Cambridgeport ""flats"" area.",,"Bowker, Edwin F.; Mason, W. A., & Son.",,,,Not applicable,,,1,,1,13 x 11,Auctioneer Plan,Ink on vellum,Discoloration.
Perkins_1_3,"Cambridge, MA","Land of Crocker, Sortwell & Fisk, Trustees",1902-05-27,,"Crocker, Sortwell & Fisk","Danehy, Wiliam",Amherst Street; Hayward Street; Main Street; Wadsworth Street,"Subdivision plan showing one block containing 27 numbered lots with dimensions, sf, and misc. geospatial references. Labelled in decorative typeface.",,,"Bowker, Edwin F.",,,,1 in = 30 ft,42.361463,-71.084874,1,,1,22 x 14.5,Survey Plan,Blueprint,Stored in plastic sleeve.
Perkins_1_4,"Cambridge, MA",Plan of Land in Cambridge owned by the Cambridge Gas Light Co.,Not dated,,Cambridge Gas Light Co.,"Collins, Elizabeth and Michael; Cox, Elizabeth; Ford, Austin & Joseph B.; McMurray, Peter, carriage works; Moore, William S., heirs; Sweeney, Catherine; Whitney, Henry M.","Athenaeum Street; Broad Canal [part now Broad Canal Way, part defunct]; Fifth Street; Munroe Street [part now Linsky Street]; Potter Street; Second Street; Third Street",Plot plan showing layout of factory works over two blocks with key structures outlined and labelled and select reference points and dimensions and overall lot sf.  Title and streets labelled in decorative typeface.,Perkins Plan #1_5 shows more finished version.,,"Bowker, Edwin F.",,,,1 in = 30 ft,42.3640142,-71.0833779,1,,1,49 x 24.5,Survey Plan,Ink on vellum,Buckling. Discoloration. Folds.
Perkins_1_5,"Cambridge, MA",Plan of Land in Cambridge owned by the Cambridge Gas Light Co.,1903-10-31,,Cambridge Gas Light Co.,"Collins, Elizabeth and Michael; Cox, Elizabeth; Ford, Austin & Joseph B.; McDonough, D.J.; McMurray, Peter, carriage works; Moore, William S., heirs; Roberts, Orrin P.; Sweeney, Catherine; Wellington, Sarah; Whitney, Henry M.","Athenaeum Street; Broad Canal [part now Broad Canal Way, part defunct]; Fifth Street; Munroe Street [part now Linsky Street]; Potter Street; Second Street; Third Street","Plot plan showing layout of factory works over two blocks with key structures outlined and labelled and select reference points and dimensions and overall lot sf.  Includes reference to ""Bayard purchase."" All structures are labelled. Title and streets labelled in decorative typeface.",,,"Bowker, Edwin F.",,,,1 in = 30 ft,42.3640142,-71.0833779,1,,1,48 x 28,Survey Plan,Blueprint,Frayed edges.
Perkins_2_1,"St. Mary Parish, LA","Sketch of the Battle of Bisland, Louisiana",Not dated,,,,Atchafalaya River; Bayou Teche; St. Mary's Parish,"Map showing location of the Battle of Bisland with river, main and plantation roads, ""thick woods"" and open fields, houses and trees burnt in battle, fort, Mouton's and Sibley's brigades, Clifton and Diana gunboats, General Banks' headquarters, and railroad embankment. Contains table of references and note indicating from ""Reconnaissance during and after the Battle."" Verso indicates ""Item No. 90.""","The Battle of Bisland was fought April 12 & 13, 1863.  Elliott served assistant engineer, Department of the Gulf, during the Civil War.",,"Elliot, Charles Darwin",,,,Not provided,29.679941,-91.289752,1,,1,9 x 16,Military Map,Blueprint,Stored in plastic sleeve.
Perkins_2_2,"Somerville, MA",Land in Somerville surveyed for E.B. Morgan et al.,1888-12-03,,,Griffiths; New England Mutual Life Co.,Benton Avenue [Benton Road]; Centre Street; 6 thru 20 Gibbons Street,Subdivision plan showing 10 numbered lots with dimensions and sf.,,,"Elliot, Charles Darwin",,,,1 in = 40 ft,42.388229,-71.104804,1,,1,19 x 9,Survey Plan,Ink and pencil on vellum,
Perkins_2_3,"Cambridge, MA",Map of Cambridge as existing in 1635,1880-12-01,,,,,"Map showing extent of Cambridge in 1635 with roads, town boundaries, hatched areas denoting marshes and swamps, building footprint in town center, and dashed line representing ""approximate position of fort - remaining position uncertain."" Note indicates ""Compiled Dec. 1880 from the best obtainable data and with approximate accuracy by Charles D. Elliot, C.E."" Contains lists of 24 number references to map features.","Is a reduced reproduction of a larger version and appeared as frontispiece in ""The records of the town of Cambridge (formerly Newtowne) Massachusetts. 1630-1703 by Cambridge (Mass.)"" [Internet Archive ""https://archive.org/embed/recordsoftownofc00cambiala""]",,"Elliot, Charles Darwin",,,,Not provided,42.373611,-71.110556,1,,1,9.5 x 6,Map,Print on coated paper,
Perkins_2_4,"Somerville, MA",Plan of Part of the Estate of J. C. Ayer. Plan B,1887-08-20,,"Ayer, James C.",Central Massachusetts Railroad; Somerville Highland Station,Highland Avenue; Fanning Avenue [Hancock Street]; Henry Avenue; Lesley Avenue; Lexington Avenue; Willow Avenue,Subdivision plan showing 104 numbered lots spread over five blocks with dimensions and sf. ,Elliot served as Ayer's estate agent.,,"Elliot, Charles Darwin",,,,1 in = 100 ft,42.394033,-71.11518,1,,1,11.5 x 11,Survey Plan,Ink on manila,
Perkins_2_5,"Somerville, MA",Part of the Estate of James C. Ayer. Plan D,1891-02-01,,"Ayer, James C.",Central Massachusetts Railroad; Somerville Highland Station,Applegate Street; Ayer Avenue [Highland Avenue]; Frederick Avenue [Kidder Avenue]; Josephine Avenue; Morrison Avenue; Morrison Street; Rogers Avenue; Willow Avenue,Subdivision plan showing 79 numbered lots spread over four blocks with dimensions and sf. ,,,"Elliot, Charles Darwin",,,,1 in = 100 ft,42.394033,-71.11518,1,,1,17 x 14,Survey Plan,Ink on manila,
