latitude,longitude,identifier,city_town,date,auction_date,survey_title,call_number,surveyor,auctioneer,property_owner,publisher,notes,link
42.362381,-71.053166,01_0001,"Boston, MA",1864-01-01,1864-07-13,"Plan of Stone Estate consisting of twelve stores on Commercial, Fulton & Richmond Sts. Boston.",Map 81.3[18-?],Alexander Wadsworth,N.A. Thompson & Co.,Stone Estate,,,
42.340813,-71.068354,01_0002,"Boston, MA",1869-01-01,1881-05-05,Estate of Sarah K. Dall Decd.,Map 81.3[18-?],J. Franklin Fuller,Samuel Hatch & Co.,Sarah K. Dall Estate,,,
42.361163,-71.064558,01_0004,"Boston, MA",1858-01-01,1858-10-27,"Plan of the Boardman Estate on Hancock Street, between Derne & Cambridge Streets",Map 81.3[18-?],,N.A. Thompson & Co.,Boardman Estate,,,
42.330342,-71.083987,01_0006,"Boston, MA",,,"Munroe Estate, Corner of Washington & Vernon Sts. Roxbury, Contents 30,254 feet",Map 81.3[18-?],,F. Brown,Munroe Estate,,,
42.356864,-71.055628,01_0007,"Boston, MA",1850-01-01,1850-10-24,"Plan of Pearl St House and Stores and three new stores on Milk and Atkinson Streets, Belonging to the Estate of the late Doct. E.H. Robbins",Map 81.3[18-?],Alexander Wadsworth,F.E. White,Doct. E.H. Robbins Estate,,,
42.356761,-71.056217,01_0008,"Boston, MA",1850-01-01,1850-10-24,"Plan of the Old Julien Estate comprising two stores on Milk and Congress Streets, belonging to the Estate of the late Doct. E.H. Robbins",Map 81.3[18-?],Alexander Wadsworth,F.E. White,Doct. E.H. Robbins Estate,,,
42.34458,-71.057229,01_0009,"Boston, MA",1864-01-01,1864-07-14,"Plan of Building Lots and Wharf Property in South Boston, near Federal Street Bridge, belonging to the Old Colony and Newport Railway Company",Map 81.3[18-?],Thos. Doane,N.A. Thompson & Co.,,,,
42.35607,-71.053148,01_0010,"Boston, MA",1869-01-01,1869-11-11,Plan of Five Estates on Oliver Street belonging to the City of Boston,Map 81.3[18-?],Thos. W. Davis,N.A. Thompson & Co.,,,,
42.356962,-71.058839,01_0011,"Boston, MA",1862-01-01,1869-04-24,"Plan of Estates on Washington Street, belonging to the heries of the late Saml. Hewes, Decd.",Map 81.3[18-?],Alexander Wadsworth,N.A. Thompson & Co.,Saml. Hewes,,,
42.357171,-71.065057,01_0012,"Boston, MA",1866-01-01,1866-02-12,[No title],Map 81.3[18-?],Alexander Wadsworth,Henshaw & Bro.,,,,
42.35334,-71.064268,01_0013,"Boston, MA",1866-01-01,1866-09-24,[No title],Map 81.3[18-?],Alexander Wadsworth,Henshaw & Bro.,,,,
42.355414,-71.060467,01_0014,"Boston, MA",1854-01-01,1854-07-01,[No title],Map 81.3[18-?],Alexander Wadsworth,J.K. Porter & Co.,,,,
42.354297,-71.061585,01_0015,"Boston, MA",1857-01-01,1870-02-01,[No title],Map 81.3[18-?],Alexander Wadsworth,Samuel Hatch & Co.,Thomas Brewer Esq.,,,
42.357277,-71.052169,01_0016,"Boston, MA",1853-01-01,1853-10-20,Estate on Broad Street,Map 81.3[18-?],,N.A. Thompson & Co.,,,,
42.353744,-71.059973,01_0017,"Boston, MA",1868-01-01,1870-02-01,No. 44 Chauncy Street,Map 81.3[18-?],Alexander Wadsworth,Samuel Hatch & Co.,Thomas Brewer Esq.,,,
42.35648,-71.059391,01_0018,"Boston, MA",1856-01-01,1859-01-04,Plan of the Melodeon Estate on Washington Street belonging to the Proprietors of the Boston Theatre,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Melodeon Estate,,,
42.33329,-71.024989,01_0019,"Boston, MA",1868-01-01,1868-07-16,[No title],Map 81.3.1871.3,Alexander Wadsworth,J.K. Porter & Co.,,,,
42.340592,-71.051489,01_0021,"Boston, MA",1836-01-01,1858-06-10,Plan of Lands in South Boston belonging to one of the heirs of the late Jonathan Mason,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Jonathan Mason,,1 map in mylar,
42.335503,-71.049285,01_0022,"Boston, MA",1836-01-01,1858-06-10,Plan of Lands in South Boston belonging to one of the heirs of the late Jonathan Mason,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Jonathan Mason,,1 map in mylar,
42.336404,-71.041595,01_0023,"Boston, MA",1836-01-01,1858-06-10,Plan of Lands in South Boston belonging to one of the heirs of the late Jonathan Mason,Map 81.3.1871.3,Alexander Wadsworth,N.A. Thompson & Co.,Jonathan Mason,,1 map in mylar,
